t_unix,so100_q1,so100_q2,so100_dq1,so100_dq2,so101_q1,so101_q2,so101_dq1,so101_dq2
1770341516.474692,1.3482268921094582e-11,2.468784954743553e-11,-1.3877787807814457e-17,-4.163336342344337e-17,0.00027689239268980205,0.0002768923777290098,1.2576745200831851e-17,-2.7755575615628914e-17
1770341516.484679,1.3482268845200431e-11,2.4687849686213407e-11,-8.673617379884035e-18,0.0,0.0002768923926898022,0.00027689237772901,2.0816681711721685e-17,1.3877787807814457e-17
1770341516.494645,1.3482268795760813e-11,2.468784971396898e-11,-7.37257477290143e-18,4.163336342344337e-17,0.00027689239268980227,0.00027689237772901006,2.6454533008646308e-17,2.7755575615628914e-17
1770341516.504654,1.3482268860379263e-11,2.468784976948013e-11,6.071532165918825e-18,2.7755575615628914e-17,0.0002768923926898023,0.00027689237772901006,2.168404344971009e-18,2.7755575615628914e-17
1770341516.514737,1.3482268860379263e-11,2.468784976948013e-11,6.071532165918825e-18,2.7755575615628914e-17,0.0002768923926898023,0.00027689237772901006,2.168404344971009e-18,2.7755575615628914e-17
1770341516.524664,1.3482269031249528e-11,2.4687850047035884e-11,7.37257477290143e-18,-2.7755575615628914e-17,0.00027689239268980227,0.00027689237772901033,-1.734723475976807e-18,6.938893903907228e-17
1770341516.534666,1.348226915094545e-11,2.4687850227447133e-11,9.107298248878237e-18,2.7755575615628914e-17,0.00027689239268980216,0.0002768923777290104,-6.938893903907228e-18,1.3877787807814457e-17
1770341516.544667,1.348226921643126e-11,2.4687850393980585e-11,2.8189256484623115e-17,-1.3877787807814457e-17,0.0002768923926898022,0.00027689237772901033,2.3418766925686896e-17,-1.3877787807814457e-17
1770341516.554660,1.3482269375592142e-11,2.4687850033158104e-11,1.8648277366750676e-17,-2.7755575615628914e-17,0.00027689239268980216,0.0002768923777290104,1.6046192152785466e-17,4.163336342344337e-17
1770341516.564656,1.3482269375592142e-11,2.4687850033158104e-11,1.8648277366750676e-17,-2.7755575615628914e-17,0.00027689239268980216,0.0002768923777290104,1.6046192152785466e-17,4.163336342344337e-17
1770341516.574669,1.34822693244178e-11,2.4687849866624652e-11,-6.071532165918825e-18,-2.7755575615628914e-17,0.00027689239268980227,0.00027689237772901066,1.9081958235744878e-17,2.7755575615628914e-17
1770341516.584663,1.3482269333958777e-11,2.4687849755602348e-11,1.8214596497756474e-17,-2.7755575615628914e-17,0.0002768923926898024,0.00027689237772901066,2.7321894746634712e-17,-1.3877787807814457e-17
1770341516.594673,1.3482269341331354e-11,2.4687849811113495e-11,1.734723475976807e-18,1.3877787807814457e-17,0.00027689239268980243,0.00027689237772901055,2.6020852139652106e-18,1.3877787807814457e-17
1770341516.604664,1.348226926413616e-11,2.4687849852746862e-11,2.6020852139652106e-18,2.7755575615628914e-17,0.000249203156130825,0.0002492031449507138,-0.002768923657173099,-0.002768923279887231
1770341516.614657,1.348226926413616e-11,2.4687849852746862e-11,2.6020852139652106e-18,2.7755575615628914e-17,0.000249203156130825,0.0002492031449507138,-0.002768923657173099,-0.002768923279887231
1770341516.624672,1.3482269193879858e-11,2.4687849727846767e-11,-1.734723475976807e-17,-1.3877787807814457e-17,0.00022428284321371233,0.0002242828354276742,-0.002492031291584109,-0.002492030952092328
1770341516.634691,1.3482269264136158e-11,2.46878501441804e-11,6.071532165918825e-18,0.0,0.00020185456158677124,0.00020185455685421696,-0.002242828162579637,-0.0022428278571552662
1770341516.644655,1.3482269362581717e-11,2.468785008866925e-11,2.47198095326695e-17,1.3877787807814457e-17,0.00018166910812263254,0.0001816691061383925,-0.0020185453463108776,-0.002018545071410957
1770341516.654644,1.3482269323116757e-11,2.468785004703589e-11,-3.165870343657673e-17,-1.3877787807814457e-17,0.00016350220000334515,0.00016350220049136905,-0.0018166908118360616,-0.0018166905645481263
1770341516.664650,1.3482269323116757e-11,2.468785004703589e-11,-3.165870343657673e-17,-1.3877787807814457e-17,0.00016350220000334515,0.00016350220049136905,-0.0018166908118360616,-0.0018166905645481263
1770341516.674663,1.348226938383208e-11,2.4687850060913674e-11,-4.336808689942018e-19,-2.7755575615628914e-17,0.00014715198269441438,0.0001471519854062407,-0.0016350217308096237,-0.0016350215083740377
