t_unix,so100_q1,so100_q2,so100_dq1,so100_dq2,so101_q1,so101_q2,so101_dq1,so101_dq2
1770340807.681536,1.3482269282681424e-11,2.468785015785993e-11,3.599551212651875e-17,2.7755575615628914e-17,-0.0017868190018854922,-0.0017868190414516082,-1.6479873021779667e-17,4.163336342344337e-17
1770340807.691523,1.3482269290054e-11,2.46878501856155e-11,-4.2500725161431774e-17,-2.7755575615628914e-17,-0.0017868190018854922,-0.0017868190414516082,-9.974659986866641e-18,-1.3877787807814457e-17
1770340807.701511,1.3482269213726167e-11,2.4687850005204256e-11,-3.903127820947816e-18,1.3877787807814457e-17,-0.0017868190018854922,-0.0017868190414516082,-2.949029909160572e-17,2.7755575615628914e-17
1770340807.711517,1.3482269213726167e-11,2.4687850005204256e-11,-3.903127820947816e-18,1.3877787807814457e-17,-0.0017868190018854922,-0.0017868190414516082,-2.949029909160572e-17,2.7755575615628914e-17
1770340807.721555,1.3482269317375893e-11,2.468784989418195e-11,1.734723475976807e-17,-1.3877787807814457e-17,-0.0017868190018854922,-0.0017868190414516082,-7.806255641895632e-18,-1.3877787807814457e-17
1770340807.731505,1.3482269483475668e-11,2.4687850185615495e-11,1.1275702593849246e-17,4.163336342344337e-17,-0.0017868190018854922,-0.0017868190414516082,8.673617379884035e-19,4.163336342344337e-17
1770340807.741555,1.348226945918954e-11,2.4687850116226554e-11,-5.204170427930421e-18,-1.3877787807814457e-17,-0.0017868190018854922,-0.0017868190414516082,-4.336808689942018e-19,-2.7755575615628914e-17
1770340807.751520,1.348226945918954e-11,2.4687850116226554e-11,-5.204170427930421e-18,-1.3877787807814457e-17,-0.0017868190018854922,-0.0017868190414516082,-4.336808689942018e-19,-2.7755575615628914e-17
1770340807.761546,1.3482269428398197e-11,2.4687850074593193e-11,-3.859759734048396e-17,4.163336342344337e-17,-0.0017868190018854922,-0.0017868190414516082,6.071532165918825e-18,0.0
1770340807.771549,1.3482269331687366e-11,2.4687850241126645e-11,-2.949029909160572e-17,-2.7755575615628914e-17,-0.0017868190018854922,-0.0017868190414516082,3.903127820947816e-18,5.551115123125783e-17
1770340807.781520,1.348226920808832e-11,2.4687850213371068e-11,-1.0408340855860843e-17,1.3877787807814457e-17,-0.0017868190018854922,-0.0017868190414516082,1.474514954580286e-17,-4.163336342344337e-17
1770340807.791509,1.3482269187271638e-11,2.468785024112665e-11,-6.938893903907228e-18,-4.163336342344337e-17,-0.0017868190018854922,-0.0017868190414516082,-5.811323644522304e-17,0.0
1770340807.801537,1.3482269291355046e-11,2.468785050480462e-11,1.1275702593849246e-17,2.7755575615628914e-17,-0.0017868190018854922,-0.0017868190414516082,-7.936359902593892e-17,2.7755575615628914e-17
1770340807.811488,1.3482269286584555e-11,2.4687850754604807e-11,-9.540979117872439e-18,2.7755575615628914e-17,-0.0017868190018854922,-0.0017868190414516082,4.336808689942018e-18,2.7755575615628914e-17
