time,leader_q1,leader_q2,leader_dq1,leader_dq2,leader_u1,leader_u2,follower_q1,follower_q2,follower_dq1,follower_dq2,follower_u1,follower_u2
0.0,0.49999999999926004,-0.7999999999990904,-2.513291186654278e-11,-2.934097129370275e-11,1.805227191238304e-10,1.8652384112951392e-10,0.8000000000400642,-0.9999999999435187,-2.621686155867712e-11,-3.5022875198411404e-11,-2.0,2.0
0.01,0.49999999999971206,-0.7999999999997713,-4.8232654751775996e-11,-1.8862934322132798e-11,3.3097768461935816e-10,1.247774116690928e-10,0.7998860934789773,-0.9998860933954964,-0.009565938545285464,0.009565936703451992,-2.0,2.0
0.02,0.5000000000000292,-0.8000000000003739,-7.088571349184621e-11,-2.176717219643424e-12,4.802464055164827e-10,1.986537182956809e-11,0.7996512388855676,-0.9996512388069686,-0.01834948954563133,0.018349490690784155,-2.0,2.0
0.03,0.5000000000003317,-0.800000000000974,-6.047161070299416e-11,-4.515539293095919e-12,4.055004812570405e-10,4.3922014726401646e-11,0.7992772931065033,-0.9992772930367924,-0.02511713525397616,0.025117135281755194,-2.0,2.0
0.04,0.5000000000006718,-0.8000000000015384,-7.625258993171573e-11,1.6486056361362882e-12,5.078594615434637e-10,9.833906912503311e-12,0.7988119359790079,-0.9988119359206863,-0.03718254125083272,0.037182541041344316,-2.0,2.0
0.05,0.5000000000015817,-0.800000000001078,-1.7976437687539025e-10,-8.316931466392234e-11,1.1972988448721184e-09,5.78658537389528e-10,0.7982598217317467,-0.9982598216883161,-0.049765084552739286,0.04976508287823869,-2.0,2.0
0.06,0.5000000000016314,-0.8000000000016013,-1.1573239176994839e-10,2.4166404681719245e-11,7.62447892462147e-10,-1.4198966412666612e-10,0.7975397503570931,-0.9975397503228992,-0.0533254037323291,0.053325401429168466,-2.0,2.0
0.07,0.5000000000017928,-0.8000000000019795,-1.257145211670935e-10,3.3372140376378014e-11,8.27927411078724e-10,-1.992446197574256e-10,0.7967217450952043,-0.9967217450718033,-0.0646660829361054,0.06466608079564004,-2.0,2.0
0.08,0.5000000000019156,-0.8000000000023235,-1.3855924237065777e-10,4.109996142075063e-11,9.133446576488171e-10,-2.469440381635211e-10,0.7957854396610923,-0.9957854396556185,-0.07374384158432692,0.07374384022822517,-2.0,2.0
0.09,0.5000000000019984,-0.8000000000026348,-1.519831100808351e-10,4.910327007688572e-11,1.0032347789926949e-09,-2.9695878086111463e-10,0.7947317107613887,-0.9947317107654104,-0.08291901114772124,0.08291901221231436,-2.0,2.0
0.1,0.5000000000022072,-0.8000000000029707,-1.844215232402875e-10,6.376713287614785e-11,1.2203330678194114e-09,-3.918007061029601e-10,0.7936526106421192,-0.9936526106620656,-0.10232220991817334,0.10232220831749156,-2.0,1.9446660358168042
0.11,0.5000000000021618,-0.8000000000030981,-2.0837421527601806e-10,7.252942297893589e-11,1.3833661123331603e-09,-4.4947306792931384e-10,0.7928356103978322,-0.9928375133636753,-0.15366664050570716,0.15326325369837612,-2.0,1.5883245958823267
0.12,0.5000000000030669,-0.8000000000022023,-3.034715340634106e-10,-4.3761628285429264e-11,2.015817366388353e-09,3.268095505761757e-10,0.7915173745035141,-0.9915438151532917,-0.12019601271166824,0.11773342565082835,-2.0,1.8114931552060036
0.13,0.5000000000034018,-0.8000000000026004,-2.6726447585109373e-10,1.029678804723186e-10,1.7657377992208855e-09,-6.626614224820581e-10,0.7903312820312325,-0.9903870533034665,-0.15710083707685518,0.15307627973343485,-2.0,1.5562092125011242
0.14,0.5000000000033222,-0.8000000000027038,-2.394834320848599e-10,9.340185367905382e-11,1.5784539237589018e-09,-5.963865034254083e-10,0.7889441759841398,-0.9890533812229276,-0.15698821799735233,0.1507107996938589,-2.0,1.5540719579004196
