it,K_err,q1,q2,q3,q4
0,14.681649294150157,10.0,10.0,10.0,10.0
1,12.974685580425602,16.751107102900278,16.751107102900278,16.751107102900278,16.751107102900278
2,12.073584600065825,21.30567251038883,21.30567251038883,21.30567251038883,21.30567251038883
3,12.061640774986289,21.79545286049688,20.815892160280782,20.815892160280782,21.79545286049688
4,10.538681145084354,27.69792271602455,26.718362015808452,14.913422304753112,27.69792271602455
5,10.532168920486718,27.36306003692789,27.05322469490511,15.248284983849771,27.36306003692789
6,10.179135414182303,29.83562181465004,29.52578647262726,17.72084676157192,24.890498259205742
7,9.874356400202025,32.09531608002635,31.78548073800357,19.98054102694823,22.63080399382943
8,9.081989106918288,35.83738257612822,35.52754723410544,16.23847453084636,26.3728704899313
9,8.612271393836002,38.56853737966958,38.2587020376468,13.507319727305003,29.10402529347266
10,8.281246877351785,40.72801991777396,40.418184575751184,15.666802265409387,26.944542755368275
11,8.131513568710078,39.29681847547272,41.84938601805243,14.235600823108143,25.51334131306703
12,8.131160418613588,39.36611729012384,41.78008720340131,14.166302008457023,25.44404249841591
13,8.003117166267634,38.053578608933094,43.09262588459205,12.853763327266279,24.131503817225166
14,7.6934297828233,40.06846825599041,45.10751553164937,14.868652974323595,22.11661417016785
15,7.672228783788027,39.553217543423216,45.622766244216564,15.38390368689079,21.601363457600655
16,7.407884661505625,41.377753966808086,47.447302667601434,17.20844011027566,19.776827034215785
17,7.393233436570121,40.95711669175216,47.86793994265736,17.629077385331584,19.35618975915986
18,7.255285267727249,42.27224485272018,49.183068103625374,18.9442055462996,20.671317920127876
19,7.200886115791351,41.44756750430133,50.00774545204422,18.119528197880754,21.49599526854672
20,7.067160055551501,40.18426992184686,51.27104303449869,16.856230615426284,20.23269768609225
21,6.954102523622734,41.3466735948964,52.43344670754823,18.018634288475823,21.39510135914179
22,6.952584479662548,41.47958211201285,52.30053819043178,17.885725771359375,21.262192842025343
23,6.469949016292682,43.83331575776083,54.65427183617976,15.531992125611396,18.908459196277363
24,6.448528323789419,43.3579862683564,55.12960132558419,16.007321615015826,18.433129706872933
25,6.4287501688875714,42.90189496226503,55.585692631675556,16.463412921107192,17.977038400781566
26,6.400179188751757,42.33988956196754,56.14769803197305,15.901407520809698,18.53904380107906
27,6.298893101593116,43.38562201207651,57.19343048208202,16.94713997091867,19.584776251188032
28,6.21871047310835,44.30851977810789,58.116328248113405,17.870037736950053,20.507674017219415
29,6.203359667558982,43.90450702340786,58.52034100281344,17.46602498225002,20.91168677191945
30,6.191720179346484,43.55323219153661,58.87161583468469,17.114750150378768,21.2629616037907
31,6.027153492529527,44.86721071453758,60.18559435768566,15.800771627377799,22.57694012679167
32,6.0203460440939445,45.12879763945875,59.92400743276448,15.539184702456623,22.315353201870494
33,5.782658144818758,46.65870530653592,61.45391509984165,17.06909236953379,20.785445534793325
34,5.776441500115204,46.411246493912586,61.70137391246499,16.821633556910456,21.03290434741666
35,5.77050591111989,46.65041846176109,61.46220194461648,16.58246158906195,20.793732379568155
36,5.7444854379076675,46.15623655491618,61.956383851461396,17.076643495906865,20.29955047272324
37,5.6937809368137975,46.85618984974326,62.65633714628848,17.776596790733947,20.999503767550323
38,5.685942929710493,47.12903121851241,62.38349577751933,17.503755421964797,20.726662398781173
39,5.679343254102415,47.37924075352339,62.13328624250835,17.253545886953816,20.47645286377019
40,5.655290150627542,46.907808917590046,62.60471807844169,17.72497772288716,20.005021027836847
41,5.649801969423408,47.135415501552416,62.37711149447932,17.49737113892479,19.777414443874477
42,5.627513358281112,46.68263018539619,62.829896810635546,17.950156455081014,19.324629127718254
43,5.479686315139956,47.867533926743135,64.01480055198249,16.76525271373407,20.509532869065197
44,5.278934870831218,49.2101313201465,65.35739794538586,18.107850107137438,19.16693547566183
45,5.272649679524183,48.972641351193715,65.59488791433864,17.87036013818465,19.404425444614617
