u1,u2
-2.866204248120056,-0.23990547780799035
-2.7695419064704367,-0.30477158967513607
-2.645819488385018,-0.3038347553912295
-2.4229391047762543,-0.3480785155228372
-2.2095151906549235,-0.3481198934849781
-2.1070407203113395,-0.25831510631767474
-1.9241144207114007,-0.18293936587191795
-1.707257418113133,-0.33213306622149485
-1.6772979590011752,-0.2535537333127629
-1.4880316643193388,-0.27807831441139474
-1.3757102728236055,-0.20641897219425545
-1.2198915260784968,-0.27105706442708305
-1.0706287599566713,-0.20593606031896436
-0.9972101767022366,-0.20091649253402133
-0.9677520591401649,-0.3069470490672384
-0.8246441533770423,-0.1995045531868952
-0.7151066249543442,-0.16805111915306853
-0.7798564564527619,-0.20663547998903442
-0.5651649013167415,-0.3430867981170327
-0.42022983997611785,-0.26776312360126997
-0.3750961004000252,-0.2204309820925998
-0.34799570372994887,-0.18690762431324007
-0.30789567059261946,-0.3039234575488812
-0.23078511220178075,-0.2398716012299852
-0.1886135284535071,-0.2631972952664414
-0.025567190065649698,-0.21212596068799905
-0.16893686553234974,-0.21818889749541093
-0.03812693250594226,-0.20645095323354917
0.0704953769824824,-0.17571202909452413
0.11970353426551848,-0.2762500609857121
0.03439355780417554,-0.23807272249213815
0.03995134648210785,-0.20032625615265273
0.10663628853680862,-0.12369042323216048
0.22495730604401096,-0.25736829514469595
0.12979584856122667,-0.18688085784727634
0.1720596883549692,-0.26042603306000073
0.2673411230438428,-0.17361373983682798
0.29270821861419327,-0.2229571984861055
0.23111645688071583,-0.1515509229235096
0.36959335783087377,-0.2235969569417838
0.3653442816256291,-0.0845519188900162
0.2951296432013752,-0.21301217209357326
0.36674931453700976,-0.12763649833007137
0.35131263597375956,-0.03357948259751789
0.31925401084406085,-0.13797166713873102
0.40651554222442526,-0.16384737902825014
0.3715348838485112,-0.1078208565605121
0.4086747430462043,-0.1230641485534269
0.411866897732885,-0.19623847142533957
0.4666994936448646,-0.08459173369066589
0.44700317013717067,-0.10462468195764896
0.45095335213188426,-0.08319842316777407
0.40560977190998004,-0.10015154229706738
0.4014116563549718,-0.12906980358217882
0.452908830882433,-0.20341274478058632
0.42401394098943873,-0.17680293011420545
0.38662864033705946,-0.11072686607749109
0.5293989683706948,-0.08390142127102831
0.39474188741405025,-0.07009028615584958
0.45366505309247507,-0.06555982177879963
0.4060790119527919,-0.13699997549904588
0.3574368419423357,-0.056596296538701976
0.3338781596833693,-0.127017199795484
0.4243410279703269,-0.05833979559928009
0.23978353138828384,-0.1449803649152378
0.4803897596512159,-0.15797850411733239
0.4680762986810585,-0.15598161616174466
0.33836472251118477,-0.058434908583491596
0.38562604140462303,-0.09613398277231643
0.4562459627657718,-0.1385777140097779
0.3570751480931381,-0.03809015003668309
0.3485002915596604,-0.08791824689501941
0.37385671783086366,-0.09887317052448484
0.38839839253459585,-0.03175455230294758
0.3828061227541492,-0.028756334465124316
0.40398366422997817,-0.08735901084710769
0.32182564216517895,-0.00028241593356279765
0.3896441046447408,-0.055172628078871425
0.3327905579489254,-0.0597947757260601
0.26993017068469677,0.05106333533630171
0.3667370493020251,-0.007994797194104793
0.30040893799740975,-0.09302553832145927
0.343915147764815,-0.05156782481528225
0.3130152021190745,-0.06982999855079869
0.30165953751828645,-0.0664485516094997
0.2127063228738773,-0.11088925979043135
