metric,value
converged,False
final_iter,999
final_K_err,0.05100567
Q_star_0,100.0
Q_star_1,100.0
Q_star_2,10.0
Q_star_3,10.0
Q_learned_0,99.46320665
Q_learned_1,99.48201404
Q_learned_2,10.04423436
Q_learned_3,10.02005114
