e1,e2,e3,e4
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.8,1.0,0.0,0.0
-0.7908761262778208,0.9908712025743439,0.04179180858551779,-0.041244730789578604
-0.7847357592655454,0.9847310263143408,0.4288481096739891,-0.42886930483601154
-0.7785895204265423,0.9785847792618619,0.4837512400345672,-0.4837503279074151
-0.7719685709671632,0.9719638304718532,0.48656117110211416,-0.4865612459616881
-0.7652304401157007,0.9652256995892927,0.5290965719787574,-0.5290965690223385
-0.7580065792160586,0.9580018386897328,0.530682122178982,-0.5306821226911274
-0.750164297914442,0.9501595573855485,0.5175242997355485,-0.5175242999541276
-0.7420203147063417,0.9420155741749733,0.5395574212343833,-0.5395574214732077
-0.7339344544017984,0.9339297138681177,0.60157107718091,-0.6015710774580577
-0.7251485863834763,0.9251438458471941,0.5793479978701933,-0.5793479981146183
-0.7166659096442894,0.9166611691056654,0.6685914733242784,-0.6685914736254306
-0.707630768327233,0.9076260277861068,0.6627620757805892,-0.662762076067953
-0.6979046950605214,0.8978999545166683,0.6415474147054185,-0.6415474149683007
-0.6878797291332562,0.887874988586672,0.663892674640012,-0.6638926749145008
-0.6775475835283108,0.877535941590766,0.6840653648894224,-0.6845503342659564
-0.6673892482261424,0.8673499873909488,0.7548663944071626,-0.7571162005184787
-0.6569548063652655,0.8568258511396373,0.7678864735447904,-0.7750959725834614
-0.6473759059880682,0.8471015419371504,0.9053698694471536,-0.9195212002692342
-0.6372484890904581,0.8366979695067446,0.8739370955817205,-0.8996030638355178
-0.6265046985603575,0.8255283218357398,0.8362153198258399,-0.8700391482123078
-0.6148489866740103,0.8132796574758472,0.7661756137389079,-0.8057039605485059
-0.6035310151262041,0.8012959238513319,0.8404617222584173,-0.8906962645063901
-0.5915181931124371,0.7887337670447864,0.7910016247626204,-0.8264270220438081
-0.5793589395067891,0.7761940195374838,0.8044196141820619,-0.8289169441839749
-0.5670446861658727,0.7636534038479967,0.8144630287063361,-0.8288204794984217
-0.5545879177374506,0.7511128217936505,0.8238425535702576,-0.8288242167380692
-0.5420490713817989,0.7385722384361945,0.8290170714344438,-0.8288240719510005
-0.5312581447166926,0.7277813948485276,1.0232303703728889,-1.0232396019791394
-0.5186497761281553,0.7151730230376352,0.8212923788846831,-0.8212920215754007
-0.5061118189634888,0.7026350659941881,0.8291158704218045,-0.8291158846310547
-0.494399946688347,0.6909231937104954,0.9209030803618632,-0.9209030801861062
-0.48233141509454386,0.6788546622028402,0.8812742670615453,-0.8812742774252429
-0.46977254353655973,0.6662957906454023,0.8267920488546419,-0.8267920495978092
-0.4572326687532679,0.6537559158665389,0.8289028015819807,-0.8289028028034089
-0.44644179127454336,0.6429650383948056,1.0232358352428461,-1.0232358372970078
-0.43470041074257226,0.6311779600687888,0.9087091248494032,-0.91254685333657
-0.42392975060948707,0.6203510765751776,1.0138597278125687,-1.0192351682816672
-0.4122645768353417,0.6085655481901422,0.9030179074235776,-0.9127190691019416
-0.3998535670996206,0.5959957125109852,0.8150264581291117,-0.8255738141080251
-0.38747569903356305,0.5834562625039191,0.8182624931862672,-0.8289499999769407
-0.37511451731145723,0.5709156352933383,0.8168852629407154,-0.8288191996767877
-0.36359595685084445,0.5592038779568804,0.9055930626809654,-0.9209158526282214
-0.35129940342002286,0.5466311842346996,0.8068206083414647,-0.8252562541543169
-0.3390799411352854,0.5340918449524937,0.8076500943566566,-0.8289623031834141
-0.3269141188300897,0.5215512134502704,0.8038282864291152,-0.8288187233361018
-0.3148049337092687,0.5090106320105241,0.8000900281727463,-0.8288242860088559
-0.3027624089264086,0.4964700486519137,0.7956421420848515,-0.8288240709311229
-0.29080026618105237,0.48392946535060977,0.790274904406941,-0.8288240773071236
-0.27942838529276537,0.4719287130376715,0.8415282380468811,-0.8888052982212613
-0.2692796195291134,0.461112049502606,0.9566686252960759,-1.020370718817961
-0.25804978317661664,0.4490076800139645,0.8057039889636544,-0.8699997327182344
-0.24816243241809188,0.4382194976300503,0.9333235424541645,-1.019193533785718
-0.2368167269674344,0.42569293773957806,0.7382495539785258,-0.815798886603273
-0.22563944267862013,0.41322197617767376,0.7387516720424924,-0.8247554376352181
