u1,u2
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
5.0,-5.0
4.887338899620058,-5.0
4.633989629392934,-5.0
3.932872709968604,-5.0
3.818090795347146,-5.0
2.656215556798759,-5.0
2.768776507325779,-5.0
2.815640014935827,-5.0
3.308346382272668,-5.0
2.497095884685884,-4.812587154776833
2.6719349665964542,-5.0
2.4539046599142678,-5.0
2.2693081128774164,-4.818292854471674
2.020031757539303,-4.635834282806535
1.7634303715880815,-4.431309988057731
0.3404070685031161,-2.9899407528743827
1.5095393010505,-4.197386772264836
1.335046037396665,-3.955769931569442
0.6215649606860456,-3.1873527029929827
0.6438914349956951,-3.206576800036785
0.8340557600800887,-3.4898695089396803
0.6455326259123262,-3.2869976396407243
-0.8023734093687713,-1.7993885026119374
-0.24364971196445737,-2.437258824030895
-1.0306274299224483,-1.6685326472167454
-0.46087082449786776,-2.174075570700438
-0.04017353788057636,-2.4527976905560136
-0.2908141575886027,-2.303428960951187
-0.4425106267003325,-2.214973610436317
-1.1095911907151932,-1.3450221081597082
-0.6962577132791838,-1.8666310798180201
-0.8803625022388478,-1.579480044086756
-0.9028150793751958,-1.50541260688683
-1.0669132865717652,-1.378705891351526
-1.2868717595339028,-1.1907110063157629
-1.2898185464225889,-0.8881832076023989
-1.8685163150795487,-0.4877133131029966
-2.77611135798907,0.6563292354015753
-1.9390962549907151,-0.26557115577624685
-2.973112041819813,0.9217431752926994
-1.639020993776264,-0.2501063077646325
-1.9528006362138208,-0.07404364124213555
-2.055714275005521,0.12752004771347578
-2.1754035258210465,0.19141672746985516
-2.2310966268768286,0.5181816165624835
-3.420564921642323,1.8972998578425329
-2.1702392893921942,0.6382322600619911
-2.90598556362399,1.4893313046097665
-2.771537172404246,1.3100336085515731
-2.919781632570646,1.7160532007874147
-2.7867881807963273,1.4590322634932684
-2.6084379156180617,1.314224131603386
-2.624881553592129,1.459674526459966
-2.775660565314539,1.5742449589967629
-2.7460315922647274,1.6521105002295455
-2.7723743609473694,1.7294899383834315
-2.7974705183122412,1.8908082808364517
-2.8125325127902765,1.9901520759900495
-4.104379798989919,3.5714875474901553
-3.6413000417582673,3.228116580586054
-3.028934480331142,2.4774636028434918
-2.8678581352785155,2.1496604827936534
-3.3352991895895845,2.7670832425677707
-3.2068199932025787,2.734542705832022
-3.1058692038176496,2.653356363400238
-2.7794016177125007,2.4993329369341586
-2.884737925933434,2.4346511294113915
-2.8571760933620696,2.552762483745641
-2.9849521431653794,2.651822708054025
-2.9556972731827718,2.577177329295182
-3.2498375376991095,3.1705136196574712
-3.2205658821955585,3.126434781472825
-3.3459525016041027,3.4204874298917436
-2.8511132361217766,2.8120060841148247
-3.08674529605005,3.117209758999622
-2.9875152526593376,3.154699663782411
-2.8230796210046845,2.9175470274425552
-3.3145690616047125,3.6337857640088567
-2.7643823509820398,2.924435572915171
-2.772121587669256,2.8892697964532847
-2.6830990595108934,2.9413661111268516
-2.9196436616588257,3.254507108047107
-2.862951267537887,3.187228046423106
-2.5317175897481716,2.860175114341679
-2.762239728103845,3.179403126403474
-2.6931492294336836,3.1389136575549346
-2.472716459595463,2.816248254816036
-2.564331310848639,3.1129726362456744
-2.454257564681624,2.9042528101787175
-2.601537342390307,3.0773903956319457
-2.4405254104613707,2.9990972510412854
-2.5267001329984207,3.096679081463898
-2.427716654444764,2.9417410293160575
-2.4454896828376818,3.1431264122666542
-2.244549867917274,2.7102169533807876
-2.345020818877043,3.18145364214833
-2.2021836159529498,2.8239076614610483
-2.2069410038666972,3.16806868301406
-2.090510648410095,2.89072900999827
-2.0079720431040737,2.6002629150069634
-2.1077061871982226,3.3261489602049252
-2.0685855145252523,3.2954918567713243
-1.933848076602387,2.879717394998934
-1.875308015283477,2.838895604806012
-1.7561729390579297,2.4271411990326235
-1.8249483221591902,2.564276266690452
-1.7351274964004866,2.4398649841402715
-1.683755882337552,2.3282869955377765
-1.5970967695490015,2.3930489855521753
-1.4862431967823662,2.1193786428264887
-1.491059135369882,2.1141373256264626
-1.4414574280755559,2.34654156058606
-1.2562440816388611,2.2489620008034397
-1.367898844320568,2.058862017536207
-1.3465575244887324,2.0850787597072924
-1.2084289097857939,1.9158448385181246
-1.1910048740625663,1.876699409109685
-1.2029119000884991,1.7973718385334494
-1.0514324883104018,1.7540257304449696
-1.0563178732877365,1.665423355183054
-1.0133441295002414,1.588367488766757
-0.8326364764705017,1.6060169878511104
-1.0071336677176395,1.5712475499674738
-0.7791655857969478,1.5339304343623736
-0.9206961609028405,1.4855321522036717
-0.8284894540596671,1.5003020878887925
-0.7514408090004646,1.4361378449277107
-0.7273505403754085,1.3941438142621978
-0.5961751284386734,1.2102275833809086
-0.5938430495649087,1.2247907715697484
-0.5400807699902321,1.2032347626098367
-0.46432233426617947,0.9957520166849905
-0.5255015766486744,1.1303626718999
-0.48524027463014874,1.0165019046287895
-0.45140631167751843,1.0710625718871665
-0.493793021733282,1.0975846792439035
-0.3869684759132636,0.9582686020652115
-0.4160192682613331,0.9394683262535569
-0.004418608578730873,0.6859541267821587
-0.20523598953635552,0.8759910874916698
-0.37246257446788367,0.7374886949523526
-0.23968975235378084,0.8269175917309326
-0.21510409261241686,0.8029034932783365
-0.20617375187990922,0.6734242985673888
-0.04943289005107014,0.5204122382583677
-0.0007291973670075433,0.5393938618143278
-0.15021406232088516,0.5780009824609301
-0.1084208906823003,0.6293458191665596
-0.07882568426623324,0.5194683441755807
-0.0638754056823784,0.41020865608836393
-0.005062866227378324,0.5945526671025142
-0.031475831183681705,0.26942651614875135
-0.05309275134904318,0.4387606250826866
0.01753865026060247,0.37528620691045167
0.08064263641227763,0.3713771896844521
0.0054624473700800435,0.43256871294835053
0.06108442773364275,0.2540044176660664
0.1892974373943102,0.2469431339464885
0.08930197530658837,0.2820453175185434
0.19354502635602966,0.17289394512509687
0.2745633264040695,0.1320800150911787
0.2210858764999809,0.14834012382110473
0.20633291718455818,0.0701756626612333
0.1920627038513953,0.05357581790853799
