it,K_err,q1,q2,q3,q4
0,14.681649294150157,10.0,10.0,10.0,10.0
1,11.396564799640243,20.3324120243542,20.3324120243542,1e-06,20.3324120243542
2,10.927630265644842,23.385195554747042,23.385195554747042,3.0527845303928443,17.279628493961354
3,10.871116520335203,22.365761347155058,24.404629762339027,4.072218737984829,18.29906270155334
4,10.825449553435586,21.451615427517936,25.31877568197615,4.986364657621951,19.21320862119046
5,10.034882138481926,25.43047847917478,29.297638733632994,1.007501605965106,23.192071672847305
6,9.986094941364064,24.528480352282713,30.19963686052506,0.1055034790730387,22.290073545955238
7,9.582544670637203,27.136129031882774,32.80728554012512,2.7131521586730996,24.8977222255553
8,9.526592157610692,26.192611109318022,33.75080346268987,1.769634236108348,23.954204302990547
9,9.202818365870487,28.51663748766441,36.07482984103626,1e-06,26.278230681336936
10,8.708446020568424,31.217198616341193,38.775390969713044,2.700562128676782,23.577669552660154
11,8.703835233821607,30.952601369685908,39.03998821636833,2.435964882021497,23.84226679931544
12,8.475359507008227,32.819457298624,40.90684414530642,0.5691089530834033,25.709122728253533
13,8.471547256158393,32.58718412065264,41.13911732327779,0.8013821310547682,25.941395906224898
14,8.083280619472603,34.85423770849593,43.40617091112108,1e-06,23.674342318381605
15,8.019442236079167,33.98541552906863,44.27499309054838,0.8688231794272977,22.805520138954307
16,7.5818616102769445,36.38056385080745,46.670141412287194,3.2639715011661132,20.41037181721549
17,7.203921874450011,38.54663806573399,48.83621562721373,5.430045716092652,18.244297602288952
18,7.163904438853057,37.859988558418536,49.522865134529184,6.116695223408103,17.5576480949735
19,7.155504299591016,37.53698398265669,49.845869710291026,5.79369064764626,17.880652670735344
20,7.146485542697437,37.20845182352605,50.17440186942167,6.122222806776906,18.20918482986599
21,7.112619328939617,36.572979491561455,50.809874201386265,5.486750474812313,17.573712497901397
22,6.89701682478507,38.17652839780749,52.4134231076323,7.090299381058346,19.17726140414743
23,6.85507315471701,37.48937955573183,53.100571949707955,7.777448223134003,18.490112562071772
24,6.544199155606562,39.358648769459705,54.96984116343583,9.646717436861879,16.620843348343897
25,6.375582162996077,40.72028463634524,56.331477030321366,11.008353303747414,17.982479215229432
26,6.325654333337521,39.99159054070333,57.06017112596328,10.279659208105501,17.25378511958752
27,6.18200844931859,41.226828039905286,58.29540862516524,11.514896707307459,18.489022618789477
28,6.181885921308426,41.191242561590116,58.33099410348041,11.550482185622629,18.524608097104647
29,6.1307685554747335,40.465333626921165,59.05690303814936,10.824573250953678,17.798699162435696
30,5.841189967738953,42.183503573435246,60.77507298466344,9.106403304439597,16.080529215921615
31,5.588704226730671,43.73964750068126,62.33121691190945,10.66254723168561,14.524385288675603
32,5.585455986647872,43.56541026448667,62.505454148104036,10.836784467880195,14.698622524870188
33,5.3574391395589895,45.02205254406476,63.96209642768213,9.380142188302104,13.241980245292098
