e1,e2,e3,e4
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.6,-0.9,0.0,0.0
0.4602905763283261,-0.9704269443903316,1.2120512926649951e-14,6.022959908591474e-15
0.4602905763283261,-0.9704269443903316,1.2120512926649951e-14,6.022959908591474e-15
0.4602905763283261,-0.9704269443903316,1.2085818457130415e-14,6.050715484207103e-15
0.4602905763283261,-0.9704269443903316,1.2169085183977302e-14,5.9396931817445875e-15
0.4602905763283261,-0.9704269443903316,1.2169085183977302e-14,5.981326545168031e-15
0.4602905763283261,-0.9704269443903316,1.2130921267505812e-14,6.036837696399289e-15
0.4602905763283261,-0.9704269443903316,1.2130921267505812e-14,6.036837696399289e-15
0.4602905763283261,-0.9704269443903316,1.214306433183765e-14,5.925815393936773e-15
0.4602905763283261,-0.9704269443903316,1.2103165691890183e-14,5.981326545168031e-15
0.4602905763283261,-0.9704269443903316,1.213786016140972e-14,5.9674487573602164e-15
0.4602905763283261,-0.9704269443903316,1.215347267269351e-14,5.981326545168031e-15
0.4602905763283261,-0.9704269443903316,1.215347267269351e-14,5.981326545168031e-15
0.4602905763283261,-0.9704269443903316,1.2134390714457766e-14,6.00908212078366e-15
0.4602905763283261,-0.9704269443903316,1.2146533778789603e-14,5.995204332975845e-15
0.4602905763283261,-0.9704269443903316,1.2162146290073395e-14,6.050715484207103e-15
0.45829057632988335,-0.9684269443875194,-0.19999999987786585,0.20000000028112885
0.4564905763309137,-0.9666269443849923,-0.17999999989378895,0.18000000025239266
0.4564905763309137,-0.9666269443849923,-0.17999999989378895,0.18000000025239266
0.45467057633202984,-0.9648069443824434,-0.1819999998888813,0.18200000025460278
0.45285257633313014,-0.9629889443799031,-0.18179999989009793,0.18180000025374987
0.4510343763342288,-0.9611707443773683,-0.18181999989029754,0.18182000025320086
0.449216196335324,-0.9593525643748392,-0.18181799989063838,0.181818000252624
0.447398014336416,-0.9575343823723158,-0.1818181998909601,0.18181820025205156
0.44557983253750477,-0.9557162005697982,-0.18181817989128338,0.1818181802514808
0.44557983253750477,-0.9557162005697982,-0.18181817989128338,0.1818181802514808
0.4437616507185903,-0.9538980187472863,-0.18181818189160565,0.18181818225091173
0.4419434689016726,-0.95207983692678,-0.18181818169192715,0.18181818205034408
0.4401252870845517,-0.9502616551060794,-0.18181818171224778,0.18181818206977807
0.4383071052674476,-0.9484434732854045,-0.1818181817105675,0.18181818206721417
0.4364889234503383,-0.9466252914647332,-0.1818181817110865,0.18181818206685163
0.43467074163322605,-0.9448071096440677,-0.1818181817113848,0.18181818206627098
0.43285255981611054,-0.9429889278234078,-0.18181818171170444,0.18181818206571398
0.43285255981611054,-0.9429889278234078,-0.18181818171170444,0.18181818206571398
0.4310343779989919,-0.9411707460027535,-0.18181818171202074,0.1818181820651563
0.4292161961818701,-0.9393525641821048,-0.18181818171233702,0.1818181820646005
0.42739801436474517,-0.9375343823614615,-0.18181818171265188,0.18181818206404649
0.42557983254761705,-0.9357162005408238,-0.1818181817129667,0.18181818206349398
0.4237616507304858,-0.9338980187201917,-0.18181818171327996,0.18181818206294334
0.4237616507304858,-0.9338980187201917,-0.18181818171327996,0.18181818206294334
0.42194346891335144,-0.932079836899565,-0.18181818171359276,0.18181818206239425
0.420125287096214,-0.9302616550789439,-0.18181818171390512,0.18181818206184663
0.41830710527907333,-0.9284434732583281,-0.18181818171421663,0.18181818206130082
0.41648892346192956,-0.9266252914377179,-0.18181818171452674,0.18181818206075645
0.4146707416447828,-0.9248071096171131,-0.18181818171483657,0.18181818206021388
0.4146707416447828,-0.9248071096171131,-0.18181818171483657,0.18181818206021388
0.4128525598276328,-0.9229889277965136,-0.18181818171514585,0.18181818205967276
0.4110343780104798,-0.9211707459759196,-0.18181818171545408,0.18181818205913358
0.4092161961933237,-0.9193525641553311,-0.18181818171576175,0.18181818205859557
0.4073980143761646,-0.9175343823347478,-0.1818181817160686,0.18181818205805944
0.4073980143761646,-0.9175343823347478,-0.1818181817160686,0.18181818205805944
0.4055798325590023,-0.9157162005141699,-0.18181818171637487,0.18181818205752487
0.40376165074183706,-0.9138980186935973,-0.18181818171668007,0.18181818205699185
0.4019434689246687,-0.9120798368730301,-0.1818181817169848,0.1818181820564604
0.4019434689246687,-0.9120798368730301,-0.1818181817169848,0.1818181820564604
0.4001252871074974,-0.9102616550524681,-0.1818181817172887,0.18181818205593064
0.398307105290323,-0.9084434732319115,-0.1818181817175921,0.18181818205540234
0.39648892347314546,-0.9066252914113602,-0.18181818171789438,0.18181818205487565
0.39467074165596505,-0.904807109590814,-0.1818181817181959,0.18181818205435052
0.39285255983878153,-0.9029889277702732,-0.1818181817184972,0.18181818205382702
0.39285255983878153,-0.9029889277702732,-0.1818181817184972,0.18181818205382702
0.3910343780215951,-0.9011707459497376,-0.1818181817187977,0.18181818205330497
0.3892161962044056,-0.8993525641292072,-0.18181818171909714,0.1818181820527846
0.3873980143872131,-0.8975343823086819,-0.18181818171939607,0.18181818205226563
0.3855798325700176,-0.8957162004881619,-0.18181818171969422,0.18181818205174827
0.3837616507528192,-0.893898018667647,-0.18181818171999162,0.18181818205123246
0.3819434689356178,-0.8920798368471372,-0.18181818172028852,0.1818181820507181
0.3819434689356178,-0.8920798368471372,-0.18181818172028852,0.1818181820507181
0.3801252871184134,-0.8902616550266327,-0.18181818172058495,0.18181818205020528
0.37830710530120604,-0.8884434732061331,-0.18181818172088007,0.18181818204969408
0.37648892348399576,-0.8866252913856388,-0.18181818172117495,0.18181818204918454
0.37467074166678255,-0.8848071095651495,-0.1818181817214691,0.18181818204867628
0.37467074166678255,-0.8848071095651495,-0.1818181817214691,0.18181818204867628
0.37285255984956645,-0.8829889277446653,-0.18181818172176217,0.18181818204816952
0.3710343780323473,-0.8811707459241862,-0.18181818172205536,0.1818181820476642
0.36921619621512525,-0.8793525641037121,-0.18181818172234673,0.18181818204716044
0.3673980143979003,-0.8775343822832431,-0.18181818172263836,0.18181818204665853
0.3655798325806725,-0.875716200462779,-0.1818181817229288,0.18181818204615763
0.3637616507634417,-0.87389801864232,-0.18181818172321934,0.18181818204565847
0.3637616507634417,-0.87389801864232,-0.18181818172321934,0.18181818204565847
0.3619434689462081,-0.8720798368218659,-0.18181818172350794,0.1818181820451607
0.3601252871289715,-0.8702616550014167,-0.18181818172379757,0.18181818204466443
0.35830710531173204,-0.8684434731809726,-0.18181818172408448,0.18181818204416977
0.3564889234944898,-0.8666252913605335,-0.18181818172437234,0.18181818204367628
0.35467074167724455,-0.8648071095400991,-0.18181818172465886,0.1818181820431845
0.35467074167724455,-0.8648071095400991,-0.18181818172465886,0.1818181820431845
0.35285255985999653,-0.8629889277196697,-0.18181818172494474,0.18181818204269398
0.3510343780427457,-0.8611707458992452,-0.1818181817252305,0.1818181820422051
0.3492161962254919,-0.8593525640788258,-0.18181818172551517,0.1818181820417175
0.3473980144082353,-0.8575343822584109,-0.1818181817257989,0.18181818204123168
0.34557983259097586,-0.8557162004380011,-0.18181818172608305,0.18181818204074696
0.3437616507737136,-0.8538980186175961,-0.18181818172636532,0.18181818204026376
0.34194346895644856,-0.8520798367971959,-0.18181818172664801,0.1818181820397821
0.34194346895644856,-0.8520798367971959,-0.18181818172664801,0.1818181820397821
0.34012528713918067,-0.8502616549768005,-0.18181818172692946,0.18181818203930172
0.33830710532191,-0.8484434731564099,-0.18181818172721026,0.18181818203882266
0.3364889235046365,-0.8466252913360242,-0.18181818172749092,0.18181818203834527
0.3346707416873602,-0.8448071095156431,-0.18181818172777026,0.18181818203786917
0.33285255987008106,-0.8429889276952668,-0.18181818172804956,0.18181818203739455
0.33285255987008106,-0.8429889276952668,-0.18181818172804956,0.18181818203739455
0.33103437805279917,-0.8411707458748952,-0.181818181728327,0.18181818203692124
0.32921619623551446,-0.8393525640545284,-0.18181818172860548,0.18181818203644937
0.327398014418227,-0.8375343822341662,-0.1818181817288821,0.181818182035979
0.3255798326009368,-0.8357162004138088,-0.18181818172915917,0.18181818203550976
0.3255798326009368,-0.8357162004138088,-0.18181818172915917,0.18181818203550976
0.32376165078364383,-0.8338980185934561,-0.18181818172943506,0.1818181820350422
0.32194346896634807,-0.832079836773108,-0.18181818172971026,0.18181818203457584
0.3201252871490496,-0.8302616549527646,-0.18181818172998476,0.181818182034111
0.31830710533174833,-0.8284434731324258,-0.18181818173025918,0.18181818203364755
0.31648892351444435,-0.8266252913120917,-0.18181818173053246,0.1818181820331853
0.31648892351444435,-0.8266252913120917,-0.18181818173053246,0.1818181820331853
0.31467074169713766,-0.8248071094917622,-0.18181818173080552,0.18181818203272448
0.31285255987982824,-0.8229889276714373,-0.18181818173107794,0.18181818203226507
0.3110343780625161,-0.8211707458511169,-0.18181818173134978,0.18181818203180683
0.3110343780625161,-0.8211707458511169,-0.18181818173134978,0.18181818203180683
0.3092161962452012,-0.8193525640308011,-0.1818181817316209,0.18181818203135014
0.3073980144278836,-0.8175343822104899,-0.18181818173189085,0.18181818203089473
