time,leader_q1,leader_q2,leader_dq1,leader_dq2,leader_u1,leader_u2,follower_q1,follower_q2,follower_dq1,follower_dq2,follower_u1,follower_u2
0.0,-0.013494504969580266,-0.015631681312415133,-0.07238497785139879,-0.08384886376462536,5.0,-5.0,-0.013465097567789984,-0.015718119545543963,-0.07222723556143318,-0.08431252134724268,5.0,-5.0
0.01,-0.01421678653125196,-0.016468353368721045,-0.07222815616710096,-0.0836672056302955,5.0,-5.0,-0.014185805124040685,-0.01655941813255817,-0.07207075562500109,-0.08412985870112367,5.0,-5.0
0.02,-0.01421678653125196,-0.016468353368721045,-0.07222815616710096,-0.0836672056302955,5.0,-5.0,-0.014185805124040685,-0.01655941813255817,-0.07207075562500109,-0.08412985870112367,5.0,-5.0
0.03,-0.014094558374134645,-0.016434686161184448,0.012222815751249404,0.0033667208173631807,5.0,-5.0,-0.014063734367465651,-0.01652528827195182,0.012207075697049994,0.003412986124479045,5.0,-5.0
0.04,-0.01395678118847706,-0.01658805287932935,0.013777718563384753,-0.01533667182102011,5.0,-5.0,-0.013925941441753706,-0.016678701255403237,0.013779292568818042,-0.015341298351684782,5.0,-5.0
0.05,-0.01395678118847706,-0.01658805287932935,0.013777718563384753,-0.01533667182102011,5.0,-5.0,-0.013925941441753706,-0.016678701255403237,0.013779292568818042,-0.015341298351684782,5.0,-5.0
0.06,-0.013770558905707274,-0.01677271620497675,0.018622228278016375,-0.01846633256414891,5.0,-5.0,-0.01373972073298925,-0.01686335995451967,0.01862207087748328,-0.01846586991105094,5.0,-5.0
0.07,-0.013539181132644906,-0.01700424986986615,0.02313777730693734,-0.02315336648905375,5.0,-5.0,-0.013508342802526246,-0.01709489408206184,0.023137793047001122,-0.0231534127543305,5.0,-5.0
0.08,-0.013212318908619456,-0.017331096500830322,0.03268622240407117,-0.032684663096536185,5.0,-5.0,-0.013181480594240758,-0.01742174066676041,0.03268622083007539,-0.03268465846997565,5.0,-5.0
0.09,-0.013212318908619456,-0.017331096500830322,0.03268622240407117,-0.032684663096536185,5.0,-5.0,-0.013181480594240758,-0.01742174066676041,0.03268622083007539,-0.03268465846997565,5.0,-5.0
0.1,-0.012845005129681016,-0.017698411835186872,0.03673137789450926,-0.03673153343567584,5.0,-5.0,-0.012814166813728212,-0.017789056005743188,0.036731378051919374,-0.036731533898298974,5.0,-5.0
0.11,-0.012381736506241808,-0.01816168029920195,0.04632686234546477,-0.04632684640161262,5.0,-5.0,-0.01235089819044631,-0.018252324469295318,0.04632686232973419,-0.04632684635531742,5.0,-5.0
0.12,-0.012381736506241808,-0.01816168029920195,0.04632686234546477,-0.04632684640161262,5.0,-5.0,-0.01235089819044631,-0.018252324469295318,0.04632686232973419,-0.04632684635531742,5.0,-5.0
0.13,-0.011878063367243057,-0.01866535345025067,0.050367313900551845,-0.050367315104872176,5.0,-5.0,-0.011847225051431726,-0.018755997620390003,0.05036731390213543,-0.05036731510946865,5.0,-5.0
0.14,-0.011328430679800147,-0.019214986132594314,0.05496326874505981,-0.054963268234366605,5.0,-5.0,-0.011297592363990293,-0.019305630302728725,0.05496326874491202,-0.054963268233873847,5.0,-5.0
0.15,-0.010683393947208302,-0.01986002286180579,0.06450367326073805,-0.06450367292122158,5.0,-5.0,-0.010652555631398199,-0.019950667031940365,0.06450367326076342,-0.06450367292123785,5.0,-5.0
0.16,-0.010683393947208302,-0.01986002286180579,0.06450367326073805,-0.06450367292122158,5.0,-5.0,-0.010652555631398199,-0.019950667031940365,0.06450367326076342,-0.06450367292123785,5.0,-5.0
0.17,-0.009997897619121468,-0.020545519186329377,0.0685496328093783,-0.06854963245233113,5.0,-5.0,-0.009967059303311284,-0.020636163356463604,0.06854963280938642,-0.06854963245229638,5.0,-5.0
0.18,-0.009266447250583657,-0.02127696955131947,0.07314503685456661,-0.0731450364989836,5.0,-5.0,-0.00923560893477338,-0.0213676137214534,0.07314503685457639,-0.07314503649895397,5.0,-5.0
0.19,-0.008439592286097274,-0.02210382451225971,0.08268549645021138,-0.08268549609406613,5.0,-5.0,-0.008408753970286901,-0.022194468682393338,0.08268549645022112,-0.0826854960940359,5.0,-5.0
0.2,-0.008439592286097274,-0.02210382451225971,0.08268549645021138,-0.08268549609406613,5.0,-5.0,-0.008408753970286901,-0.022194468682393338,0.08268549645022112,-0.0826854960940359,5.0,-5.0
0.21,-0.007572277781195495,-0.02297113901360322,0.08673145049089032,-0.08673145013429467,5.0,-5.0,-0.007541439465385025,-0.023061783183736553,0.08673145049089995,-0.08673145013426468,5.0,-5.0
0.22,-0.00660900923034229,-0.0239344075609027,0.09632685508691709,-0.09632685472996655,5.0,-5.0,-0.006578170914531727,-0.02402505173103573,0.09632685508692679,-0.09632685472993631,5.0,-5.0
0.23,-0.00660900923034229,-0.0239344075609027,0.09632685508691709,-0.09632685472996655,5.0,-5.0,-0.006578170914531727,-0.02402505173103573,0.09632685508692679,-0.09632685472993631,5.0,-5.0
0.24,-0.0056053360840736,-0.02493808070360442,0.10036731462759389,-0.1003673142700935,5.0,-5.0,-0.005574497768262939,-0.025028724873737147,0.10036731462760365,-0.10036731427006318,5.0,-5.0
0.25,-0.004505703397353262,-0.0260377133867618,0.10996326867364613,-0.10996326831573236,5.0,-5.0,-0.004474865081542506,-0.026128357556894244,0.1099632686736559,-0.10996326831570205,5.0,-5.0
0.26,-0.0033656666646671727,-0.02717775011587099,0.11400367326934747,-0.11400367291081825,5.0,-5.0,-0.0033348283488563195,-0.02726839428600313,0.11400367326935723,-0.11400367291078776,5.0,-5.0
0.27,-0.0033656666646671727,-0.02717775011587099,0.11400367326934747,-0.11400367291081825,5.0,-5.0,-0.0033348283488563195,-0.02726839428600313,0.11400367326935723,-0.11400367291078776,5.0,-5.0
0.28,-0.0021796703365763227,-0.028363746440381282,0.11859963280991655,-0.11859963245092822,5.0,-5.0,-0.0021488320207653728,-0.02845439061051312,0.11859963280992634,-0.11859963245089779,5.0,-5.0
0.29,-0.0008982699680314649,-0.02964514680534692,0.12814003685611172,-0.12814003649651973,5.0,-5.0,-0.0008674316522204184,-0.029735790975478456,0.12814003685612152,-0.1281400364964893,5.0,-5.0
0.3,0.0004235899964792055,-0.03096700676626373,0.1321859964518255,-0.13218599609154918,5.0,-5.0,0.0004544283122903494,-0.031057650936394964,0.1321859964518353,-0.13218599609151863,5.0,-5.0
0.31,0.0004235899964792055,-0.03096700676626373,0.1321859964518255,-0.13218599609154918,5.0,-5.0,0.0004544283122903494,-0.031057650936394964,0.1321859964518353,-0.13218599609151863,5.0,-5.0
0.32,0.0017914040013949958,-0.03233482076758112,0.1367814004924302,-0.13678140013160545,5.0,-5.0,0.0018222423172062371,-0.03242546493771205,0.13678140049244006,-0.13678140013157478,5.0,-5.0
0.33,0.00325462260226508,-0.033798039364853365,0.146321860088658,-0.1463218597271424,5.0,-5.0,0.0032854609180764174,-0.033888683534984,0.14632186008866785,-0.14632185972711167,5.0,-5.0
0.34,0.00325462260226508,-0.033798039364853365,0.146321860088658,-0.1463218597271424,5.0,-5.0,0.0032854609180764174,-0.033888683534984,0.14632186008866785,-0.14632185972711167,5.0,-5.0
0.35,0.004758300743551352,-0.03530171750252617,0.15036781412940545,-0.1503678137671159,5.0,-5.0,0.0047891390593627885,-0.03539236167265651,0.15036781412941538,-0.1503678137670851,5.0,-5.0
0.36,0.006357932930790087,-0.03690134968615336,0.15996321872554983,-0.15996321836260768,5.0,-5.0,0.0063887712466016225,-0.0369919938562834,0.15996321872555982,-0.15996321836257676,5.0,-5.0
0.37,0.006357932930790087,-0.03690134968615336,0.15996321872554983,-0.15996321836260768,5.0,-5.0,0.0063887712466016225,-0.0369919938562834,0.15996321872555982,-0.15996321836257676,5.0,-5.0
0.38,0.007997969713445598,-0.03854138646518066,0.16400367826634343,-0.16400367790253972,5.0,-5.0,0.008028808029257232,-0.038632030635310385,0.16400367826635343,-0.16400367790250875,5.0,-5.0
0.39,0.009733966036553746,-0.04027738278466198,0.17359963231250963,-0.1735996319479901,5.0,-5.0,0.009764804352365479,-0.0403680269547914,0.17359963231251965,-0.17359963194795913,5.0,-5.0
0.4,0.011510366405628967,-0.04205378315009292,0.17764003690832952,-0.17764003654287897,5.0,-5.0,0.011541204721440799,-0.04214442732022203,0.17764003690833965,-0.17764003654284788,5.0,-5.0
0.41,0.011510366405628967,-0.04205378315009292,0.17764003690832952,-0.17764003654287897,5.0,-5.0,0.011541204721440799,-0.04214442732022203,0.17764003690833965,-0.17764003654284788,5.0,-5.0
0.42,0.01333272637011008,-0.043876143110923076,0.1822359964490144,-0.1822359960827959,5.0,-5.0,0.013363564685922013,-0.04396678728105187,0.1822359964490245,-0.1822359960827649,5.0,-5.0
0.43,0.015150490375062354,-0.04569390711220789,0.1817764004953146,-0.18177640012820928,5.0,-5.0,0.015181328690874388,-0.04578455128233637,0.18177640049532465,-0.18177640012817814,5.0,-5.0
0.44,0.016968713975970287,-0.04751213070944123,0.1818223600909627,-0.18182235972306707,5.0,-5.0,0.016999552291782422,-0.047602774879569404,0.1818223600909728,-0.18182235972303584,5.0,-5.0
0.45,0.016968713975970287,-0.04751213070944123,0.1818223600909627,-0.18182235972306707,5.0,-5.0,0.016999552291782422,-0.047602774879569404,0.1818223600909728,-0.18182235972303584,5.0,-5.0
0.46,0.01878689161728634,-0.04933030834707376,0.18181776413176667,-0.18181776376298422,5.0,-5.0,0.018817729933098572,-0.04942095251720162,0.1818177641317769,-0.18181776376295283,5.0,-5.0
0.47,0.020605073854565184,-0.05114849058066039,0.18181822372804687,-0.18181822335839315,5.0,-5.0,0.020635912170377517,-0.05123913475078793,0.18181822372805717,-0.18181822335836162,5.0,-5.0
0.48,0.020605073854565184,-0.05114849058066039,0.18181822372804687,-0.18181822335839315,5.0,-5.0,0.020635912170377517,-0.05123913475078793,0.18181822372805717,-0.18181822335836162,5.0,-5.0
0.49,0.022423255632251365,-0.05296667235464561,0.18181817776878123,-0.181818177398251,5.0,-5.0,0.022454093948063802,-0.05305731652477283,0.1818181777687916,-0.18181817739821954,5.0,-5.0
0.5,0.024241437455900443,-0.05478485417458495,0.18181818236507116,-0.18181818199366223,5.0,-5.0,0.02427227577171298,-0.054875498344711844,0.1818181823650814,-0.1818181819936307,5.0,-5.0
0.51,0.026059619274956862,-0.05660303598992284,0.18181818190580626,-0.18181818153351637,5.0,-5.0,0.026090457590769504,-0.056693680160049414,0.18181818190581667,-0.18181818153348472,5.0,-5.0
0.52,0.026059619274956862,-0.05660303598992284,0.18181818190580626,-0.18181818153351637,5.0,-5.0,0.026090457590769504,-0.056693680160049414,0.18181818190581667,-0.18181818153348472,5.0,-5.0
0.53,0.027877801094476195,-0.05842121780571482,0.18181818195209776,-0.18181818157892438,5.0,-5.0,0.02790863941028894,-0.058511861975841066,0.18181818195210822,-0.1818181815788925,5.0,-5.0
0.54,0.029695982913952892,-0.06023939962145532,0.18181818194783445,-0.18181818157377516,5.0,-5.0,0.029726821229765745,-0.06033004379158124,0.18181818194784496,-0.18181818157374346,5.0,-5.0
0.55,0.029695982913952892,-0.06023939962145532,0.18181818194783445,-0.18181818157377516,5.0,-5.0,0.029726821229765745,-0.06033004379158124,0.18181818194784496,-0.18181818157374346,5.0,-5.0
0.56,0.031514164733437516,-0.062057581437194864,0.1818181819486276,-0.18181818157367985,5.0,-5.0,0.031545003049250474,-0.062148225607320466,0.1818181819486381,-0.18181818157364787,5.0,-5.0
0.57,0.033332346552925024,-0.06387576325292839,0.18181818194891597,-0.18181818157307744,5.0,-5.0,0.033363184868738086,-0.06396640742305368,0.18181818194892652,-0.1818181815730453,5.0,-5.0
0.58,0.033332346552925024,-0.06387576325292839,0.18181818194891597,-0.18181818157307744,5.0,-5.0,0.033363184868738086,-0.06396640742305368,0.18181818194892652,-0.1818181815730453,5.0,-5.0
0.59,0.035150528372415925,-0.06569394506865639,0.18181818194925572,-0.18181818157252383,5.0,-5.0,0.035181366688229083,-0.06578458923878136,0.18181818194926624,-0.18181818157249147,5.0,-5.0
0.6,0.036968710191910184,-0.0675121268843788,0.1818181819495912,-0.18181818157196347,5.0,-5.0,0.03699954850772343,-0.06760277105450344,0.18181818194960186,-0.18181818157193105,5.0,-5.0
0.61,0.036968710191910184,-0.0675121268843788,0.1818181819495912,-0.18181818157196347,5.0,-5.0,0.03699954850772343,-0.06760277105450344,0.18181818194960186,-0.18181818157193105,5.0,-5.0
0.62,0.038786892011407795,-0.0693303087000956,0.18181818194992788,-0.181818181571402,5.0,-5.0,0.03881773032722116,-0.0694209528702199,0.18181818194993873,-0.1818181815713696,5.0,-5.0
0.63,0.040605073830908785,-0.07114849051580678,0.18181818195026572,-0.1818181815708387,5.0,-5.0,0.04063591214672225,-0.07123913468593075,0.1818181819502762,-0.18181818157080631,5.0,-5.0
0.64,0.040605073830908785,-0.07114849051580678,0.18181818195026572,-0.1818181815708387,5.0,-5.0,0.04063591214672225,-0.07123913468593075,0.1818181819502762,-0.18181818157080631,5.0,-5.0
0.65,0.04242325565041315,-0.0729666723315123,0.18181818195060406,-0.1818181815702737,5.0,-5.0,0.04245409396622672,-0.07305731650163598,0.18181818195061492,-0.18181818157024116,5.0,-5.0
0.66,0.044241437469920895,-0.07478485414721218,0.18181818195094335,-0.18181818156970742,4.99249585824935,-5.0,0.04427227578573459,-0.07487549831733552,0.18181818195095412,-0.18181818156967416,4.98079868183747,-5.0
0.67,0.046059619289432044,-0.07660303596290638,0.18181818195128355,-0.1818181815691387,4.967660834895925,-5.0,0.04609045760524585,-0.07669368013302937,0.18181818195129423,-0.1818181815691062,4.956011486667354,-5.0
0.68,0.046059619289432044,-0.07660303596290638,0.18181818195128355,-0.1818181815691387,4.967660834895925,-5.0,0.04609045760524585,-0.07669368013302937,0.18181818195129423,-0.1818181815691062,4.956011486667354,-5.0
0.69,0.047877801108946606,-0.07842121777859488,0.18181818195162439,-0.18181818156856883,4.94282581154245,-5.0,0.04790863942476051,-0.07851186194871754,0.1818181819516353,-0.18181818156853619,4.931224291497185,-5.0
0.7,0.049695982928464576,-0.0802393995942777,0.18181818195196617,-0.18181818156799717,4.9179907881889235,-5.0,0.04972682124427859,-0.0803300437644,0.18181818195197705,-0.18181818156796414,4.9064370963269655,-5.0
